Team,OpTeam,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,,,,,,
Chrome,Archers,1,0,0,0,12.00,13.00,5.00,0.00,45.00,0.27,39.00,19.00,6.00,0.64,0.00,0.00,7.00,8.00,12.00,1.00,0.40,,,,,,
Archers,Chrome,1,1,0,0,13.00,12.00,2.00,0.50,36.00,0.33,29.00,19.00,8.00,0.36,1.00,0.33,8.00,11.00,12.00,0.00,0.48,,,,,,
Chaos,Whipsnakes,1,0,0,0,14.00,15.00,7.00,0.14,35.00,0.37,34.00,12.00,11.00,0.38,1.00,0.50,4.00,14.00,15.00,0.00,0.48,,,,,,
Whipsnakes,Chaos,1,1,0,0,15.00,14.00,3.00,0.00,55.00,0.27,35.00,14.00,6.00,0.63,0.00,0.00,6.00,12.00,13.00,1.00,0.48,,,,,,
Redwood,Atlas,1,1,0,0,11.00,9.00,1.00,0.00,56.00,0.20,31.00,9.00,8.00,0.46,1.00,0.33,6.00,17.00,9.00,0.00,0.65,,,,,,
Atlas,Redwood,1,0,0,0,9.00,11.00,7.00,0.00,41.00,0.22,23.00,15.00,6.00,0.54,0.00,0.00,7.00,20.00,11.00,0.00,0.65,,,,,,
Whipsnakes,Chrome,2,1,1,0,12.00,11.00,6.00,0.17,47.00,0.23,22.00,13.00,6.00,0.36,2.00,0.40,6.00,13.00,10.00,1.00,0.57,,,,,,
Chrome,Whipsnakes,2,0,0,1,11.00,12.00,6.00,0.17,43.00,0.23,32.00,19.00,7.00,0.64,0.00,0.00,5.00,17.00,11.00,1.00,0.61,,,,,,
Redwood,Archers,2,0,1,1,9.00,10.00,6.00,0.00,39.00,0.23,22.00,14.00,7.00,0.57,1.00,0.25,3.00,12.00,10.00,0.00,0.55,,,,,,
Archers,Redwood,2,1,1,1,10.00,9.00,1.00,0.00,36.00,0.28,24.00,13.00,5.00,0.43,0.00,0.00,5.00,14.00,9.00,0.00,0.61,,,,,,
Chaos,Atlas,2,1,0,0,18.00,13.00,7.00,0.43,42.00,0.36,27.00,12.00,3.00,0.32,1.00,0.50,8.00,16.00,12.00,1.00,0.57,,,,,,
Atlas,Chaos,2,0,0,0,13.00,18.00,8.00,0.13,41.00,0.29,39.00,14.00,2.00,0.68,2.00,0.50,8.00,9.00,15.00,3.00,0.38,,,,,,
Redwood,Chaos,3,0,1,1,11.00,12.00,7.00,0.14,48.00,0.21,27.00,14.00,4.00,0.58,1.00,0.33,6.00,4.00,12.00,0.00,0.25,,,,,,
Chaos,Redwood,3,1,1,1,12.00,11.00,3.00,0.00,27.00,0.44,28.00,15.00,2.00,0.42,2.00,1.00,7.00,16.00,8.00,1.00,0.64,,,,,,
