Team1,Team2,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,OPoints,OPA,O2PtSh,O2PtShPct,OSh,OSh %,OGB,OTO,OCT,OFO %,OPP,OPP %,OAssists,OSaves,OGA,O2GA,OSvPct
Chrome,Archers,1,0,0,0,12,13,5,0,45,0.27,39,19,6,0.64,0,0,7,8,12,1,0.4,13,12,2,0.5,36,0.33,29,19,8,0.36,1,0.33,8,11,12,0,0.48
Chaos,Whipsnakes,1,0,0,0,14,15,7,0.14,35,0.37,34,12,11,0.38,1,0.5,4,14,15,0,0.48,15,14,3,0,55,0.27,35,14,6,0.63,0,0,6,12,13,1,0.48
Redwood,Atlas,1,1,0,0,11,9,1,0,56,0.2,31,9,8,0.46,1,0.33,6,17,9,0,0.65,9,11,7,0,41,0.22,23,15,6,0.54,0,0,7,20,11,0,0.65
Whipsnakes,Chrome,2,1,1,0,12,11,6,0.17,47,0.23,22,13,6,0.36,2,0.4,6,13,10,1,0.57,11,12,6,0.17,43,0.23,32,19,7,0.64,0,0,5,17,11,1,0.61
Redwood,Archers,2,0,1,1,9,10,6,0,39,0.23,22,14,7,0.57,1,0.25,3,12,10,0,0.55,10,9,1,0,36,0.28,24,13,5,0.43,0,0,5,14,9,0,0.61
Chaos,Atlas,2,1,0,0,18,13,7,0.43,42,0.36,27,12,3,0.32,1,0.5,8,16,12,1,0.57,13,18,8,0.13,41,0.29,39,14,2,0.68,2,0.5,8,9,15,3,0.38
Redwood,Chaos,3,0,1,1,11,12,7,0.14,48,0.21,27,14,4,0.58,1,0.33,6,4,12,0,0.25,12,11,3,0,27,0.44,28,15,2,0.42,2,1,7,16,8,1,0.64
Archers,Whipsnakes,3,0,2,2,10,11,4,0,46,0.22,24,14,4,0.36,2,0.33,7,12,9,2,0.57,11,10,7,0.29,34,0.26,34,19,1,0.64,0,0,5,20,10,0,0.67
Chrome,Atlas,3,0,0,0,12,13,7,0.29,40,0.25,32,11,10,0.35,0,0,6,11,12,1,0.48,13,12,2,0.5,34,0.35,32,17,4,0.65,1,0.33,6,14,10,2,0.58
Chrome,Redwood,4,0,0,1,11,13,6,0.33,39,0.23,36,20,5,0.46,0,0,5,13,13,0,0.5,13,11,2,0,44,0.3,35,15,9,0.54,0,0,7,13,9,2,0.59
Whipsnakes,Atlas,4,1,3,1,15,10,9,0.33,52,0.23,25,10,9,0.3,1,0.17,7,12,9,1,0.57,10,15,6,0.17,37,0.24,30,15,0,0.7,0,0,5,17,12,3,0.53
Archers,Chaos,4,0,2,2,13,14,6,0.17,46,0.26,36,17,16,0.46,2,0.67,8,10,12,2,0.41,14,13,7,0.29,37,0.32,28,25,2,0.54,2,0.5,10,21,12,1,0.64
Atlas,Archers,5,1,1,2,13,12,3,0,38,0.34,25,14,5,0.71,0,0,7,11,11,1,0.5,12,13,6,0.17,33,0.33,19,11,8,0.29,4,0.8,8,9,13,0,0.41
Chaos,Chrome,5,1,3,0,15,14,4,0.25,44,0.32,33,16,6,0.63,2,0.5,8,14,14,0,0.5,14,15,2,0,47,0.3,34,13,6,0.38,2,1,5,16,14,1,0.51
Redwood,Whipsnakes,5,1,2,4,14,11,4,0,43,0.33,24,11,8,0.22,1,0.17,9,17,10,1,0.63,11,14,5,0.2,50,0.2,40,14,5,0.78,0,0,10,13,14,0,0.48
Archers,Redwood,6,0,2,3,8,9,2,0,44,0.18,35,22,8,0.86,1,0.5,8,12,9,0,0.57,9,8,3,0,37,0.24,24,19,8,0.14,0,0,5,14,8,0,0.64
Atlas,Whipsnakes,6,0,2,4,9,11,7,0,44,0.2,24,13,3,0.55,0,0,3,17,11,0,0.61,11,9,4,0,40,0.28,21,11,3,0.45,0,0,3,14,9,0,0.61
Chrome,Chaos,6,1,0,4,19,11,1,0,44,0.43,43,13,9,0.53,1,0.2,11,9,11,0,0.45,11,19,2,0,38,0.29,30,15,8,0.47,0,0,5,18,19,0,0.49
Atlas,Redwood,7,1,2,4,18,15,9,0.33,38,0.39,25,12,5,0.64,4,0.8,13,12,15,0,0.44,15,18,1,0,39,0.38,21,10,3,0.36,1,0.5,8,10,15,3,0.4
Chaos,Whipsnakes,7,1,4,5,13,12,6,0.17,39,0.31,31,17,11,0.46,0,0,7,17,12,0,0.59,12,13,8,0,43,0.28,27,13,7,0.54,0,0,5,18,12,1,0.6
Archers,Chrome,7,1,2,1,9,7,7,0.29,40,0.18,25,12,3,0.44,0,0,1,19,7,0,0.67,7,9,4,0,54,0.13,35,9,5,0.56,0,0,4,12,7,2,0.63
Redwood,Chaos,8,0,4,5,10,13,6,0,45,0.22,25,18,7,0.27,0,0,4,12,11,3,0.52,13,10,10,0.3,42,0.24,33,21,6,0.73,0,0,6,12,9,0,0.57
Chrome,Whipsnakes,8,1,1,5,20,16,4,0.5,42,0.43,36,17,8,0.59,0,0,8,9,13,3,0.41,16,20,11,0.27,45,0.29,33,14,11,0.41,0,0,8,6,18,2,0.23
Archers,Atlas,8,1,3,3,15,11,2,0,48,0.31,26,11,4,0.43,1,0.2,9,17,11,0,0.6,11,15,9,0,46,0.24,39,14,8,0.57,1,0.33,7,13,15,0,0.46
