Team1,Team2,Week,Win,RF,
Whipsnakes,Chrome,2,TEAM1,TEAM2,
Redwood,Archers,2,TEAM2,TEAM2,
Chaos,Atlas,2,TEAM1,TEAM1,
Redwood,Chaos,3,TEAM2,TEAM2,
Archers,Whipsnakes,3,TEAM2,TEAM2,
Chrome,Atlas,3,TEAM2,TEAM2,
Chrome,Redwood,4,TEAM2,TEAM2,
Whipsnakes,Atlas,4,TEAM1,TEAM2,
Archers,Chaos,4,TEAM2,TEAM2,
Atlas,Archers,5,TEAM1,TEAM2,
Chaos,Chrome,5,TEAM1,TEAM1,
Redwood,Whipsnakes,5,TEAM1,TEAM2,
Archers,Redwood,6,TEAM2,TEAM2,
Atlas,Whipsnakes,6,TEAM2,TEAM2,
Chrome,Chaos,6,TEAM1,TEAM2,
Atlas,Redwood,7,TEAM1,TEAM2,
Chaos,Whipsnakes,7,TEAM1,TEAM1,
Archers,Chrome,7,TEAM1,TEAM1,
Redwood,Chaos,8,TEAM2,TEAM1,
Chrome,Whipsnakes,8,TEAM1,TEAM2,
Archers,Atlas,8,TEAM1,TEAM1,
Chaos,Archers,9,TEAM1,TEAM1,
Chrome,Atlas,9,TEAM2,TEAM2,
Whipsnakes,Redwood,9,TEAM1,TEAM2,
Atlas,Chaos,10,TEAM1,TEAM1,
Redwood,Chrome,10,TEAM1,TEAM1,
Whipsnakes,Archers,10,TEAM2,TEAM2,
